"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.025329590E0,5.187988281E-4,-1.220703125E-4,-6.866455078E-4,8.692154156E-4
1.030334472E0,-5.493164062E-4,9.460449219E-4,2.517700195E-3,2.745098137E-3
1.035339355E0,5.187988281E-4,-1.220703125E-4,3.814697266E-4,6.554178343E-4
1.040344238E0,1.586914062E-3,-1.220703125E-4,-6.866455078E-4,1.733401124E-3
1.045318603E0,-5.493164062E-4,-1.220703125E-4,-6.866455078E-4,8.877678349E-4
1.050323486E0,-2.685546875E-3,-1.220703125E-4,3.814697266E-4,2.715249957E-3
1.055328369E0,-5.493164062E-4,-1.220703125E-4,1.449584961E-3,1.554974673E-3
1.060333252E0,1.586914062E-3,9.460449219E-4,-6.866455078E-4,1.970984345E-3
1.065338135E0,5.187988281E-4,9.460449219E-4,3.814697266E-4,1.144409180E-3
1.070343017E0,5.187988281E-4,9.460449219E-4,1.449584961E-3,1.807055555E-3
1.075347900E0,5.187988281E-4,2.014160156E-3,3.814697266E-4,2.114595118E-3
1.080352783E0,5.187988281E-4,-1.190185547E-3,-6.866455078E-4,1.468732758E-3
1.085357666E0,5.187988281E-4,-1.220703125E-4,-6.866455078E-4,8.692154156E-4
1.090362549E0,-5.493164062E-4,-1.220703125E-4,1.449584961E-3,1.554974673E-3
1.095336914E0,-1.617431641E-3,9.460449219E-4,3.814697266E-4,1.912225211E-3
1.100341797E0,1.586914062E-3,9.460449219E-4,-1.754760742E-3,2.548035027E-3
1.105346680E0,5.187988281E-4,-1.190185547E-3,-6.866455078E-4,1.468732758E-3
1.110351562E0,5.187988281E-4,-1.190185547E-3,3.814697266E-4,1.353223194E-3
1.115356445E0,-5.493164062E-4,-1.220703125E-4,-6.866455078E-4,8.877678349E-4
1.120361328E0,5.187988281E-4,2.014160156E-3,3.814697266E-4,2.114595118E-3
1.125366211E0,-5.493164062E-4,-1.190185547E-3,3.814697266E-4,1.365214013E-3
1.130371094E0,-5.493164062E-4,-1.220703125E-4,-2.807617188E-3,2.863453151E-3
1.135345459E0,-5.493164062E-4,-1.220703125E-4,-6.866455078E-4,8.877678349E-4
1.140350342E0,5.187988281E-4,9.460449219E-4,-1.754760742E-3,2.059936523E-3
1.145355224E0,1.586914062E-3,9.460449219E-4,1.449584961E-3,2.348317226E-3
1.150360107E0,-5.493164062E-4,9.460449219E-4,-6.866455078E-4,1.291600388E-3
1.155364990E0,-1.617431641E-3,9.460449219E-4,3.814697266E-4,1.912225211E-3
1.160369873E0,-1.617431641E-3,-1.220703125E-4,-6.866455078E-4,1.761382504E-3
1.165374756E0,5.187988281E-4,-1.220703125E-4,-6.866455078E-4,8.692154156E-4
1.170379638E0,-5.493164062E-4,9.460449219E-4,1.449584961E-3,1.816052331E-3
